order_id,customer_id,product_id,quantity,order_date
3001,1048,2020,4,2025-04-03
3002,1015,2011,4,2025-04-20
3003,1008,2007,2,2025-04-04
3004,1014,2001,4,2025-04-01
3005,1023,2001,4,2025-04-30
3006,1040,2020,2,2025-04-04
3007,1021,2013,3,2025-05-17
3008,1016,2009,4,2025-04-21
3009,1045,2003,2,2025-04-25
3010,1018,2007,1,2025-05-15
3011,1047,2006,3,2025-04-18
3012,1024,2008,1,2025-05-20
3013,1026,2009,1,2025-04-10
3014,1025,2005,2,2025-05-23
3015,1045,2001,4,2025-05-23
3016,1041,2019,2,2025-05-13
3017,1029,2010,2,2025-04-21
3018,1015,2012,2,2025-05-13
3019,1045,2015,2,2025-05-07
3020,1001,2009,3,2025-04-16
3021,1025,2020,4,2025-04-07
3022,1007,2017,1,2025-04-07
3023,1009,2017,1,2025-05-09
3024,1024,2020,4,2025-05-02
3025,1001,2012,1,2025-05-09
3026,1044,2007,4,2025-05-07
3027,1008,2002,1,2025-05-13
3028,1024,2003,2,2025-04-03
3029,1011,2017,1,2025-04-07
3030,1017,2005,4,2025-04-03
3031,1008,2017,4,2025-05-07
3032,1035,2017,4,2025-04-30
3033,1035,2017,4,2025-04-08
3034,1033,2002,4,2025-04-22
3035,1005,2002,3,2025-04-16
3036,1042,2005,3,2025-04-16
3037,1039,2001,1,2025-05-20
3038,1041,2001,4,2025-05-11
3039,1028,2019,1,2025-04-11
3040,1007,2002,4,2025-05-08
3041,1009,2012,4,2025-04-15
3042,1008,2006,3,2025-04-25
3043,1012,2004,3,2025-05-12
3044,1034,2011,2,2025-04-22
3045,1033,2017,3,2025-04-05
3046,1048,2006,2,2025-05-11
3047,1023,2005,2,2025-05-21
3048,1024,2020,2,2025-04-07
3049,1037,2002,2,2025-04-02
3050,1035,2006,2,2025-05-20
3051,1044,2011,1,2025-03-30
3052,1040,2016,3,2025-04-07
3053,1022,2016,2,2025-04-20
3054,1027,2001,4,2025-04-14
3055,1035,2009,3,2025-05-07
3056,1001,2006,3,2025-05-15
3057,1035,2016,2,2025-05-14
3058,1037,2003,1,2025-04-18
3059,1047,2020,2,2025-05-06
3060,1014,2004,1,2025-04-03
3061,1003,2019,4,2025-04-13
3062,1001,2003,3,2025-05-04
3063,1005,2019,4,2025-03-29
3064,1026,2020,1,2025-05-05
3065,1014,2007,1,2025-04-23
3066,1039,2020,4,2025-05-12
3067,1027,2009,1,2025-04-25
3068,1009,2001,4,2025-05-09
3069,1015,2008,3,2025-05-21
3070,1015,2007,4,2025-05-15
3071,1026,2018,3,2025-04-13
3072,1042,2008,4,2025-04-16
3073,1013,2001,1,2025-04-26
3074,1032,2011,4,2025-04-19
3075,1039,2018,1,2025-04-03
3076,1049,2010,4,2025-05-24
3077,1032,2003,4,2025-05-20
3078,1004,2007,2,2025-04-03
3079,1030,2016,1,2025-04-28
3080,1037,2016,2,2025-04-03
3081,1023,2020,1,2025-04-02
3082,1039,2017,2,2025-05-24
3083,1045,2002,3,2025-05-14
3084,1015,2001,4,2025-05-16
3085,1043,2016,1,2025-05-19
3086,1029,2012,1,2025-04-13
3087,1036,2005,4,2025-04-03
3088,1013,2005,1,2025-05-17
3089,1032,2009,1,2025-04-05
3090,1007,2009,2,2025-04-16
3091,1022,2003,1,2025-04-04
3092,1028,2019,3,2025-05-25
3093,1002,2016,3,2025-04-04
3094,1042,2016,4,2025-04-20
3095,1045,2003,1,2025-05-07
3096,1006,2020,4,2025-04-09
3097,1028,2001,3,2025-05-23
3098,1028,2020,1,2025-04-21
3099,1044,2011,1,2025-05-24
3100,1044,2017,4,2025-05-25
